Refineria,Producto,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018
Tula,            Otros querosenos,3.006175342,2.864920548,1.715961644,1.631076503,0.164852055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tula,    Diesel,46.50122192,52.90277534,52.93579452,63.53545355,60.98992877,62.11099452,62.45218356,60.38003833,58.81241571,51.33538306,56.47376141,65.06630102,59.02988812,56.65127961,62.20434058,59.81417902,60.0938242,49.68891223,48.2388456,50.0654457,44.47126578,42.52182631,46.19066786,34.16293954,30.37264012,7.896204071
Tula,    Gasóleo industrial d,6.163142466,5.088216438,4.488906849,4.903106557,4.637909589,5.666876712,3.794164384,2.426526462,0.001817534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tula,    Combustóleo,82.14399726,98.20807671,88.85209863,98.86746995,96.08823836,100.2851836,99.20458356,91.53996199,92.11000462,90.80079095,79.27741413,77.65337578,86.900403,77.50566899,80.23750353,74.34110313,86.19902749,83.82278839,89.65783363,88.61635202,77.45305793,79.09136377,72.08234188,64.86604051,70.24198607,20.89093245
Tula,    Asfaltos,0,0,0,0.840508197,3.02969863,3.707865753,4.054106849,3.456484481,3.985892882,4.929494611,3.200839425,3.917776413,4.401748296,4.32040097,5.355744904,5.020648057,5.461513208,5.202658734,5.369190847,4.886996049,3.971561375,4.513290482,4.426560345,3.333243219,4.182427175,0.644989614
Tula,    Coque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.510735392,2.983163838,2.891694392,2.413054724,2.509259312,0.664401208
Salamanca,    Gas Seco a,9.589328767,11.14773973,8.768175342,5.792734973,5.51580274,5.485528767,4.590975342,6.621667213,6.661637249,5.663420438,5.813671052,5.371079352,4.610688016,5.635204559,6.354970444,7.512208579,9.00940049,7.653860732,7.634797904,7.646221981,9.322635288,8.694796907,6.152014381,7.184640464,6.685204345,2.679916282
Salamanca,    Gas licuado,8.129216438,7.33849589,7.547558904,5.886229508,3.559632877,1.897816438,1.421545205,2.684724863,2.660438614,3.274389767,3.497976926,3.387021907,3.851714833,3.323305466,2.347010279,2.666510563,2.020545099,1.604883482,1.728952899,1.821353705,2.473148956,3.018488847,3.376111816,3.227680727,2.564144216,0.99194209
Salamanca,            Extra/Pemex Magna b,16.05445479,24.07753151,23.01838356,23.05710929,33.52667123,41.0865863,49.41521644,53.38055123,54.53402559,57.2081305,59.41669699,60.87731295,60.66880194,63.39340362,59.23232491,58.94682563,59.49416495,58.8555945,52.88242575,58.13514789,61.64619012,52.94258968,43.11995867,55.38728366,49.04141808,19.78788422
Salamanca,            Nova/Base c,53.66802192,45.15686849,38.60086301,37.83270492,29.40806849,15.13586849,9.638635616,2.162822404,0.428773178,0.372525962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamanca,            Pemex Premium,0,0,0,0,0.036649315,0,0,8.19672E-07,0,2.878973364,4.725953984,4.63263679,2.93665223,2.889150888,4.169072274,3.824564096,2.91468197,2.106381923,1.6867416,2.680266142,2.985866384,3.379010608,1.02767269,1.001431344,0.017872622,0.000481271
Salamanca,            Turbosina,8.392178082,6.702221918,8.065123288,8.900775956,10.21953425,11.07157808,11.64018082,11.88365653,11.82861827,11.07694462,10.45147824,11.24857877,12.18324547,13.25646779,10.51735437,10.49302118,8.713528627,8.09848557,7.537584077,8.286397702,10.61771166,9.199030458,9.657898247,9.084475672,10.84083038,4.094990416
Salamanca,            Otros querosenos,2.266158904,1.155161644,0.767780822,1.156172131,0.690205479,0.94339726,0.20129589,0.032849727,0.025249315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salamanca,    Diesel,42.9425726,46.20903562,35.17505479,39.20342077,42.64489589,41.64073151,39.54509589,40.74118585,37.57983588,41.14640781,36.03017383,41.41493235,42.10108197,44.5188804,42.38306209,50.97944552,44.98651337,41.67209417,37.73643999,39.22460607,44.36087692,38.73436211,33.61621715,33.83894104,28.67549985,12.92679858
Salamanca,    Combustóleo,45.375,39.28539178,45.89596438,42.6114071,54.17346575,53.67826575,49.1831589,54.10869833,54.59528178,48.15457948,49.15316389,54.91589925,48.38595006,41.99438684,37.43269196,35.50224557,42.21079424,46.68841176,40.38793151,41.35767242,46.26409705,38.77416298,36.42869951,45.72352177,41.94511965,17.89106279
Salamanca,    Asfaltos,12.56787945,14.28456986,8.654265753,9.174286885,7.481594521,6.517978082,8.221863014,10.31500434,9.980536016,10.15402276,11.4170813,12.29544487,13.39284545,14.08725746,14.58360562,16.52853892,14.40454932,11.47286068,12.41675279,11.07866461,9.522149137,12.41463372,8.774164562,10.3729669,9.366003219,4.225837378
Salamanca,    Lubricantes,6.264123288,6.281767123,6.34579726,6.471054645,5.540928767,5.373652055,8.348156164,5.980706831,5.20755103,4.918473816,5.470509436,5.401682943,5.168759025,5.102576041,5.181248753,5.107066202,4.201103082,4.268242238,3.726584967,3.876817503,4.383905838,3.685171627,2.288557682,2.968775358,1.890326342,0.935570107
Salamanca,    Coque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.119914649,1.992064353,2.018876614,2.327548497,2.217363616,0.925318397
Salamanca,    Otros e,2.190172603,1.907747945,2.385432877,2.413005464,2.016575342,2.178780822,2.300854795,1.633354973,1.563071647,1.448943345,1.423992047,1.58269182,1.690206523,1.55779569,1.624980652,1.528884967,1.12180126,1.244506644,1.212289126,1.072942964,1.040036099,0.953994014,0.825335378,0.73850103,0.566061096,0.331399726
Minatitlan,    Gas Seco a,4.964293151,8.945421918,9.140208219,6.969986339,6.56289589,6.958326027,7.817060274,8.256913934,8.200335474,7.053988879,7.484975581,6.23008909,5.344087425,5.279001197,6.246904367,6.486144658,5.188202622,8.228334992,12.26318871,15.06927968,15.89825162,16.1765994,14.8506337,19.55526734,10.72169332,1.214357268
Minatitlan,    Gas licuado,19.56406027,19.0887863,11.18061918,16.03201093,3.401778082,4.346180822,7.347331507,5.272328962,7.142985082,7.039199734,5.92864606,4.806910413,5.968249266,4.630217104,5.35728611,5.67744509,7.118564847,5.928273655,5.249974929,6.882629145,5.65759111,6.038196219,3.470421211,2.018073861,1.922727304,0
Minatitlan,            Extra/Pemex Magna b,8.960917808,10.94647123,18.40151781,26.4192459,26.96470137,40.34149315,34.52063288,37.92311921,41.9180284,43.72693254,41.77233408,41.54031659,44.84486174,41.41744872,41.7071759,41.70947664,45.41466526,40.40795504,38.32987012,53.14638548,52.72786233,56.64566766,45.53853507,33.1731914,18.71210402,3.078602397
Minatitlan,            Nova/Base c,64.47547123,62.33841644,59.96933973,36.40834426,25.21758082,22.77367123,24.01988767,16.46375699,13.17126278,10.90978129,8.62312894,15.40837437,15.67366008,13.66704387,12.11885141,15.04762442,16.82070364,19.91849079,12.1215953,1.803381087,12.25140756,12.68407332,14.15776996,14.90933849,11.53811981,2.204239937
Minatitlan,            Pemex Premium,0,0,0,0,0,0,0,0.237426784,0.053004822,0.001386422,3.56712E-06,0.003295525,1.9611E-05,6.36712E-06,1.10603E-05,8.30601E-06,8.38904E-06,4.13973E-06,2.88219E-06,3.933088322,3.670474721,5.157348118,3.781840334,4.627578776,2.605448474,0
Minatitlan,            Otras gasolinas,1.330312329,1.197153425,0.773041096,0.985601093,0.794624658,0.929276712,0.886473973,0.678580137,0.711656159,0.419541534,0.201875655,0.223650434,0,0,0,0,0,0.013016668,0.017955597,0.004694142,0,0,0,0,0,0
Minatitlan,            Turbosina,13.4738137,11.51559178,9.604090411,7.342849727,7.238093151,7.095350685,5.861556164,3.570392842,4.300125595,3.10797991,3.205633762,2.48046615,2.751251474,1.234503367,0.318050964,0.178582986,0.060693055,0,0.024688825,2.128216314,0.068007403,0,0,0,0,0
Minatitlan,            Otros querosenos,1.786841096,1.695972603,0.800452055,1.410568306,1.157556164,0.710317808,0.37989589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minatitlan,    Diesel,43.50111781,44.11703014,36.94076712,37.25559563,36.73971233,36.41843562,38.78181644,38.10904148,36.88116142,37.34346142,41.90585378,40.22561012,39.15621344,42.18385419,44.39562129,39.70243687,37.87550038,37.69765781,34.11857327,52.13551333,63.0291033,57.19260175,51.20970859,36.05167588,18.00466251,0.455989679
Minatitlan,    Combustóleo,65.68754247,68.09700548,62.56223288,61.81264754,65.12376438,66.55292055,64.01911507,66.84082678,69.55459703,66.22364211,69.03345216,63.78739175,62.62287384,64.69656682,63.65601088,62.87019038,67.17995392,64.62467664,65.35847398,33.36111196,19.45698739,14.87212453,20.71901851,7.474822328,26.70747025,6.673185348
Minatitlan,    Lubricantes,0.342931507,0.471586301,0.316528767,0.19697541,0.068879452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minatitlan,    Otros e,2.409013699,0,0,3.712193989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101319721,18.2764991,28.52907154,29.42064537,23.0133168,25.16920823,11.78825569,1.043600742
