"","Refineria","Crudo","Producto","pct","cap","value"
"137","Salamanca","Pesado","Pemex Premium",0.231421901292809,220,0.509128182844179
"138","Salamanca","Pesado","Turbosina",1.33948614712026,220,2.94686952366457
"139","Salamanca","Superligero","Combustoleo",1.36872511027399,220,3.01119524260278
"140","Salamanca","Superligero","Diesel",1.21180238539509,220,2.66596524786921
"141","Salamanca","Superligero","Gas licuado",0.102526153736986,220,0.22555753822137
"142","Salamanca","Superligero","Gas seco",0.211225962123187,220,0.464697116671011
"143","Salamanca","Superligero","Magna",1.48404471546866,220,3.26489837403105
"144","Salamanca","Superligero","Otro",0.819315062841306,220,1.80249313825087
"145","Salamanca","Superligero","Otros querosenos",0.00859912951324394,220,0.0189180849291367
"146","Salamanca","Superligero","Pemex Premium",0.0521465278847397,220,0.114722361346427
"147","Salamanca","Superligero","Turbosina",0.301827749801655,220,0.664021049563641
"148","Salina Cruz","Ligero","Combustoleo",21.7720512862266,330,71.8477692445477
"149","Salina Cruz","Ligero","Diesel",12.7794350784261,330,42.1721357588061
"150","Salina Cruz","Ligero","Gas licuado",1.47987385595439,330,4.88358372464948
"151","Salina Cruz","Ligero","Gas seco",2.71033959782505,330,8.94412067282268
"152","Salina Cruz","Ligero","Magna",16.3347324988005,330,53.9046172460415
"153","Salina Cruz","Ligero","Otro",2.85212973104976,330,9.41202811246422
"154","Salina Cruz","Ligero","Otros querosenos",0.0444843814263272,330,0.14679845870688
"155","Salina Cruz","Ligero","Pemex Premium",1.68708401582387,330,5.56737725221877
"156","Salina Cruz","Ligero","Turbosina",3.262155418686,330,10.7651128816638
"157","Salina Cruz","Pesado","Combustoleo",12.8210260009973,330,42.309385803291
"158","Salina Cruz","Pesado","Diesel",7.52549529047864,330,24.8341344585795
"159","Salina Cruz","Pesado","Gas licuado",0.871461349045705,330,2.87582245185083
"160","Salina Cruz","Pesado","Gas seco",1.59605238837696,330,5.26697288164396
"161","Salina Cruz","Pesado","Magna",9.61912257752874,330,31.7431045058448
"162","Salina Cruz","Pesado","Otro",1.67954911364459,330,5.54251207502714
"163","Salina Cruz","Pesado","Otros querosenos",0.0261957591137049,330,0.0864460050752262
"164","Salina Cruz","Pesado","Pemex Premium",0.993482320447609,330,3.27849165747711
"165","Salina Cruz","Pesado","Turbosina",1.92100316559176,330,6.3393104464528
"166","Salina Cruz","Superligero","Combustoleo",0.00841721856857181,330,0.027776821276287
"167","Salina Cruz","Superligero","Diesel",0.00494061385506818,330,0.016304025721725
"168","Salina Cruz","Superligero","Gas licuado",0.000572128989396759,330,0.00188802566500931
"169","Salina Cruz","Superligero","Gas seco",0.00104783515756188,330,0.00345785601995419
"170","Salina Cruz","Superligero","Magna",0.00631511527756401,330,0.0208398804159612
"171","Salina Cruz","Superligero","Otro",0.00110265215787706,330,0.0036387521209943
"172","Salina Cruz","Superligero","Otros querosenos",0.0000171979551412313,330,0.0000567532519660632
"173","Salina Cruz","Superligero","Pemex Premium",0.000652237803321588,330,0.00215238475096124
"174","Salina Cruz","Superligero","Turbosina",0.00126117079198236,330,0.00416186361354179
